Data,Visualizações
2026-03-06,101
2026-03-07,545
2026-03-08,883
2026-03-09,496
2026-03-10,1647
2026-03-11,1361
2026-03-12,1610
2026-03-13,385
2026-03-14,235
2026-03-15,316
2026-03-16,778
2026-03-17,323
2026-03-18,278
2026-03-19,321
2026-03-20,616
2026-03-21,975
2026-03-22,1936
2026-03-23,645
2026-03-24,421
2026-03-25,637
2026-03-26,2350
2026-03-27,1168
2026-03-28,2156
2026-03-29,1803
2026-03-30,140
2026-03-31,301
2026-04-01,22
2026-04-02,1024
